SMT128 Rev 0 Mainboard electrolytic capacitors		
C44	100uf	6v	6x6mm
C45	100uf	6v	6x6mm
C46	2.2uf	50v	4x4mm
C50	47uf	16v	6x6mm
C51	47uf	16v	6x6mm
C54	100uf	6v	6x6mm
C55	47uf	16v	6x6mm
C58	22uf	6v	4x4mm
C63	100uf	6v	6x6mm
C65	100uf	6v	6x6mm
C77	100uf	6v	6x6mm
C78	100uf	6v	6x6mm
C79	100uf	6v	6x6mm
C80	100uf	6v	6x6mm
C87	100uf	6v	6x6mm
C88	100uf	6v	6x6mm
C89	100uf	6v	6x6mm
C90	100uf	6v	6x6mm
C98	100uf	6v	6x6mm
C99	100uf	6v	6x6mm
C103	100uf	6v	6x6mm
C104	100uf	6v	6x6mm
C112	100uf	6v	6x6mm
C114	100uf	6v	6x6mm
C115	2.2uf	50v	4x4mm
C117	1uf	50v	4x4mm
C118	100uf	6v	6x6mm
C127	100uf	6v	6x6mm
C128	100uf	6v	6x6mm
